"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R17","0805R","68.156mm","106.426mm","67.056mm","106.426mm","67.056mm","106.426mm","T","360.00","Value"
"R16","0805R","65.829mm","86.868mm","66.929mm","86.868mm","66.929mm","86.868mm","T","180.00","Value"
"C6","CP-RAD-12.5mm-40.0mm-5.0mm","102.322mm","62.357mm","99.822mm","62.357mm","99.822mm","62.357mm","B","360.00","Value"
"R15","0805R","65.212mm","67.056mm","66.312mm","67.056mm","66.312mm","67.056mm","T","180.00","Value"
"R14","0805R","89.916mm","112.565mm","89.916mm","113.665mm","89.916mm","113.665mm","T","270.00","4k7"
"HS2","HS-TO-220-180847","0mm","0mm","52.832mm","81.788mm","0mm","0mm","B","270.00","HS-TO-220"
"HS1","HS-TO-220-180847","0mm","0mm","52.832mm","101.6mm","0mm","0mm","B","270.00","HS-TO-220"
"1","LDR-5mm","100.584mm","93.55mm","100.584mm","95.25mm","100.584mm","95.25mm","B","270.00","LDR"
"2","Thermistor-100mil","94.615mm","98.298mm","94.615mm","97.028mm","94.615mm","97.028mm","B","90.00","Value"
"C1","0805C","91.356mm","71.882mm","92.456mm","71.882mm","92.456mm","71.882mm","B","180.00","Value"
"C2","0805C","82.38mm","78.232mm","81.28mm","78.232mm","81.28mm","78.232mm","B","360.00","Value"
"C3","CP-RAD-12.5mm-25.0mm-5.0mm","83.058mm","52.364mm","83.058mm","54.864mm","83.058mm","54.864mm","B","270.00","Value"
"C4","0805C","78.232mm","92.626mm","78.232mm","93.726mm","78.232mm","93.726mm","T","270.00","100nF"
"D1","DO-214AC","90.551mm","58.284mm","90.551mm","56.134mm","90.551mm","56.134mm","B","90.00","1N4007"
"P1","HDR-F-1x4-2.54mm-180-8.7mm","74.549mm","94.742mm","74.549mm","90.932mm","74.549mm","90.932mm","B","90.00","BLE"
"P2","HDR-M-1x2-2.54mm-180-9.2mm","63.754mm","80.645mm","63.754mm","81.915mm","63.754mm","81.915mm","T","270.00","PWM_1"
"P3","HDR-M-1x4-2.54mm-180-11.2mm","77.343mm","109.093mm","73.533mm","109.093mm","73.533mm","109.093mm","B","360.00","SERIAL"
"P4","HDR-M-1x2-2.54mm-180-9.2mm","63.627mm","100.203mm","63.627mm","101.473mm","63.627mm","101.473mm","T","270.00","PWM_2"
"P5","HDR-M-1x2-2.54mm-180-9.2mm","84.201mm","107.95mm","84.201mm","106.68mm","84.201mm","106.68mm","B","90.00","RESET"
"P6","HDR-M-1x4-2.54mm-180-11.2mm","91.313mm","109.347mm","95.123mm","109.347mm","95.123mm","109.347mm","B","180.00","I2C"
"P7","HDR-M-1x4-2.54mm-180-11.2mm","93.218mm","104.267mm","97.028mm","104.267mm","97.028mm","104.267mm","B","180.00","ADC"
"Q1","TO-220/123","57.277mm","81.915mm","57.277mm","84.455mm","57.277mm","84.455mm","B","270.00","MOSFET-N"
"Q2","TO-220/123","57.15mm","101.473mm","57.15mm","104.013mm","57.15mm","104.013mm","B","270.00","MOSFET-N"
"R1","0805R","97.663mm","94.15mm","97.663mm","95.25mm","97.663mm","95.25mm","T","270.00","1k"
"R2","0805R","98.382mm","97.028mm","97.282mm","97.028mm","97.282mm","97.028mm","T","0.00","10k"
"R3","0805R","77.089mm","99.652mm","77.089mm","98.552mm","77.089mm","98.552mm","T","90.00","0R"
"R4","0805R","79.926mm","98.552mm","81.026mm","98.552mm","81.026mm","98.552mm","T","180.00","0R"
"R5","0805R","85.852mm","103.294mm","85.852mm","104.394mm","85.852mm","104.394mm","T","270.00","10k"
"R6","0805R","67.988mm","80.137mm","69.088mm","80.137mm","69.088mm","80.137mm","T","180.00","2k2R"
"R7","0805R","67.056mm","99.144mm","67.056mm","98.044mm","67.056mm","98.044mm","T","90.00","2k2R"
"R8","0805R","84.666mm","74.803mm","83.566mm","74.803mm","83.566mm","74.803mm","B","360.00","Value"
"R9","0805R","79.967mm","74.803mm","78.867mm","74.803mm","78.867mm","74.803mm","B","360.00","Value"
"U1","TQFP32-7.0mm(0.8mm)","86.284mm","93.212mm","81.534mm","96.012mm","81.534mm","96.012mm","T","0.00","ATmega328A-AU"
"U2","nRF24l01","86.876mm","83.14mm","90.551mm","81.915mm","83.201mm","81.915mm","B","180.00","nRF24l01"
"U3","CR2032","86.6775mm","69.977mm","90.043mm","81.534mm","72.771mm","69.977mm","T","180.00","CR2032"
"U4","SOT-223/4","85.7504mm","68.5205mm","83.439mm","71.882mm","83.439mm","71.882mm","B","360.00","LM317"
"P8","KK-M-1x2-2.54mm-180","71.9833mm","53.975mm","71.9833mm","52.705mm","71.9833mm","52.705mm","B","90.00","SOURCE"
"P9","HDR-M-2x3-2.54mm-180-9.2mm","101.473mm","84.582mm","102.743mm","82.042mm","102.743mm","82.042mm","T","90.00","ICSP"
"HS3","HS-TO-220-180847","0mm","0mm","52.8632mm","62.103mm","0mm","0mm","B","270.00","HS-TO-220"
"P10","HDR-M-1x2-2.54mm-180-9.2mm","63.627mm","60.706mm","63.627mm","61.976mm","63.627mm","61.976mm","T","270.00","PWM_1"
"Q3","TO-220/123","57.277mm","61.976mm","57.277mm","64.516mm","57.277mm","64.516mm","B","270.00","MOSFET-N"
"R10","0805R","67.371mm","60.071mm","68.471mm","60.071mm","68.471mm","60.071mm","T","180.00","2k2R"
"R11","0805R","96.901mm","89.197mm","96.901mm","90.297mm","96.901mm","90.297mm","T","270.00","Res"
"R12","0805R","94.234mm","93.007mm","94.234mm","94.107mm","94.234mm","94.107mm","T","270.00","Res"
"C5","0805C","92.837mm","83.101mm","92.837mm","84.201mm","92.837mm","84.201mm","B","270.00","Value"
"Q4","SOT-23B_N","67.455mm","63.627mm","67.455mm","63.627mm","66.33mm","64.577mm","T","0.00","QNPN"
"Q5","SOT-23B_N","67.818mm","83.439mm","67.818mm","83.439mm","66.693mm","84.389mm","T","0.00","QNPN"
"Q6","SOT-23B_N","68.199mm","103.124mm","68.199mm","103.124mm","67.074mm","104.074mm","T","0.00","QNPN"

